start	end	distance	speed	direction	nodetype	railtype	st_xval	st_yval	et_xval	et_yval
64	65	200	500	E	N	N	4500	0	4700	0
64	63	200	500	W	N	N	4500	0	4300	0
65	64	200	500	W	N	N	4700	0	4500	0
65	66	200	500	E	N	N	4700	0	4900	0
66	65	200	500	W	N	N	4900	0	4700	0
66	67	200	500	E	N	N	4900	0	5100	0
67	66	200	500	W	N	N	5100	0	4900	0
67	68	200	500	E	N	N	5100	0	5300	0
68	69	200	500	E	N	N	5300	0	5500	0
68	67	200	500	W	N	N	5300	0	5100	0
69	70	200	500	E	N	N	5500	0	5700	0
69	68	200	500	W	N	N	5500	0	5300	0
70	71	200	500	E	N	N	5700	0	5900	0
70	69	200	500	W	N	N	5700	0	5500	0
71	72	200	500	E	N	N	5900	0	6100	0
71	70	200	500	W	N	N	5900	0	5700	0
72	71	200	500	W	N	N	6100	0	5900	0
72	73	200	500	E	N	N	6100	0	6300	0
73	72	200	500	W	N	N	6300	0	6100	0
73	74	200	500	E	N	N	6300	0	6500	0
74	73	200	500	W	N	N	6500	0	6300	0
74	75	200	500	E	N	N	6500	0	6700	0
75	76	200	500	E	N	N	6700	0	6900	0
75	74	200	500	W	N	N	6700	0	6500	0
76	77	200	500	E	N	N	6900	0	7100	0
76	75	200	500	W	N	N	6900	0	6700	0
77	5	200	500	E	N	N	7100	0	7300	0
77	76	200	500	W	N	N	7100	0	6900	0
78	79	200	500	W	N	N	-1100	7000	-1300	7000
78	14	200	500	E	N	N	-1100	7000	-900	7000
79	78	200	500	E	N	N	-1300	7000	-1100	7000
79	80	200	500	W	N	N	-1300	7000	-1500	7000
80	81	200	500	W	N	N	-1500	7000	-1700	7000
80	79	200	500	E	N	N	-1500	7000	-1300	7000
81	82	200	500	W	N	N	-1700	7000	-1900	7000
81	80	200	500	E	N	N	-1700	7000	-1500	7000
82	83	200	500	W	N	N	-1900	7000	-2100	7000
82	81	200	500	E	N	N	-1900	7000	-1700	7000
83	84	200	500	W	N	N	-2100	7000	-2300	7000
83	82	200	500	E	N	N	-2100	7000	-1900	7000
84	83	200	500	E	N	N	-2300	7000	-2100	7000
84	85	200	500	W	N	N	-2300	7000	-2500	7000
85	84	200	500	E	N	N	-2500	7000	-2300	7000
85	86	200	500	W	N	N	-2500	7000	-2700	7000
86	85	200	500	E	N	N	-2700	7000	-2500	7000
86	87	200	500	W	N	N	-2700	7000	-2900	7000
87	86	200	500	E	N	N	-2900	7000	-2700	7000
87	88	200	500	W	N	N	-2900	7000	-3100	7000
88	89	200	500	W	N	N	-3100	7000	-3300	7000
88	87	200	500	E	N	N	-3100	7000	-2900	7000
89	90	200	500	W	N	N	-3300	7000	-3500	7000
89	88	200	500	E	N	N	-3300	7000	-3100	7000
90	91	200	500	W	N	N	-3500	7000	-3700	7000
90	89	200	500	E	N	N	-3500	7000	-3300	7000
91	90	200	500	E	N	N	-3700	7000	-3500	7000
91	92	200	500	W	N	N	-3700	7000	-3900	7000
92	91	200	500	E	N	N	-3900	7000	-3700	7000
92	93	200	500	W	N	N	-3900	7000	-4100	7000
93	92	200	500	E	N	N	-4100	7000	-3900	7000
93	94	200	500	W	N	N	-4100	7000	-4300	7000
94	93	200	500	E	N	N	-4300	7000	-4100	7000
94	95	200	500	W	N	N	-4300	7000	-4500	7000
95	96	200	500	W	N	N	-4500	7000	-4700	7000
95	94	200	500	E	N	N	-4500	7000	-4300	7000
96	97	200	500	W	N	N	-4700	7000	-4900	7000
96	95	200	500	E	N	N	-4700	7000	-4500	7000
97	96	200	500	E	N	N	-4900	7000	-4700	7000
97	98	200	500	W	N	N	-4900	7000	-5100	7000
98	97	200	500	E	N	N	-5100	7000	-4900	7000
98	99	200	500	W	N	N	-5100	7000	-5300	7000
99	98	200	500	E	N	N	-5300	7000	-5100	7000
99	100	200	500	W	N	N	-5300	7000	-5500	7000
100	99	200	500	E	N	N	-5500	7000	-5300	7000
100	6	200	500	W	N	N	-5500	7000	-5700	7000
101	102	200	500	E	N	N	1100	7000	1300	7000
101	15	200	500	W	N	N	1100	7000	900	7000
102	101	200	500	W	N	N	1300	7000	1100	7000
102	103	200	500	E	N	N	1300	7000	1500	7000
103	102	200	500	W	N	N	1500	7000	1300	7000
103	104	200	500	E	N	N	1500	7000	1700	7000
104	105	200	500	E	N	N	1700	7000	1900	7000
104	103	200	500	W	N	N	1700	7000	1500	7000
105	106	200	500	E	N	N	1900	7000	2100	7000
105	104	200	500	W	N	N	1900	7000	1700	7000
106	107	200	500	E	N	N	2100	7000	2300	7000
106	105	200	500	W	N	N	2100	7000	1900	7000
107	108	200	500	E	N	N	2300	7000	2500	7000
107	106	200	500	W	N	N	2300	7000	2100	7000
108	109	200	500	E	N	N	2500	7000	2700	7000
108	107	200	500	W	N	N	2500	7000	2300	7000
109	110	200	500	E	N	N	2700	7000	2900	7000
109	108	200	500	W	N	N	2700	7000	2500	7000
110	109	200	500	W	N	N	2900	7000	2700	7000
110	111	200	500	E	N	N	2900	7000	3100	7000
111	112	200	500	E	N	N	3100	7000	3300	7000
111	110	200	500	W	N	N	3100	7000	2900	7000
112	113	200	500	E	N	N	3300	7000	3500	7000
112	111	200	500	W	N	N	3300	7000	3100	7000
113	112	200	500	W	N	N	3500	7000	3300	7000
113	114	200	500	E	N	N	3500	7000	3700	7000
114	113	200	500	W	N	N	3700	7000	3500	7000
114	115	200	500	E	N	N	3700	7000	3900	7000
115	114	200	500	W	N	N	3900	7000	3700	7000
115	116	200	500	E	N	N	3900	7000	4100	7000
116	115	200	500	W	N	N	4100	7000	3900	7000
116	117	200	500	E	N	N	4100	7000	4300	7000
117	116	200	500	W	N	N	4300	7000	4100	7000
117	118	200	500	E	N	N	4300	7000	4500	7000
118	117	200	500	W	N	N	4500	7000	4300	7000
118	119	200	500	E	N	N	4500	7000	4700	7000
119	118	200	500	W	N	N	4700	7000	4500	7000
119	120	200	500	E	N	N	4700	7000	4900	7000
120	119	200	500	W	N	N	4900	7000	4700	7000
120	121	200	500	E	N	N	4900	7000	5100	7000
121	120	200	500	W	N	N	5100	7000	4900	7000
121	122	200	500	E	N	N	5100	7000	5300	7000
122	123	200	500	E	N	N	5300	7000	5500	7000
122	121	200	500	W	N	N	5300	7000	5100	7000
123	122	200	500	W	N	N	5500	7000	5300	7000
123	7	200	500	E	N	N	5500	7000	5700	7000
