DIFF_X	DIFF_Y	ANGLE	CAM_ID	MARKER_VALUE	X	Y	Z	LASTSEEN	CUR_POS	CUR_SPD	DISTANCE_FROM_HOME	DISTANCE_ARMEXTENDED	ANGLE_540	ANGLE_360
0.0	37.62	1	0	10	250	1175	8005	1730115172.463835	5	-1	0	0	0	178
-31.24	21.97	3	0	102	-836	475	5187	1730115172.560876	427	38	1	0	0	178
-0.01	37.62	1	0	10	244	1152	7849	1730115172.566319	522	47	1	0	0	178
-0.01	37.62	1	0	10	244	1152	7849	1730115172.665675	1576	78	4	0	0	178
-0.01	37.62	1	0	10	244	1152	7849	1730115172.767076	3191	111	7	0	0	178
0.0	37.62	1	0	10	250	1175	8005	1730115172.870589	4824	123	11	0	0	178
-31.25	21.94	4	0	102	-838	476	5199	1730115172.967366	7747	186	18	0	0	178
-0.01	37.62	1	0	10	244	1152	7849	1730115172.972886	8144	197	19	0	0	178
-0.01	37.62	1	0	10	244	1152	7849	1730115173.069577	11480	218	27	0	0	178
0.0	37.62	1	0	10	240	1130	7696	1730115173.18617	16269	258	38	0	0	178
-31.28	21.97	3	0	102	-835	474	5176	1730115173.263203	19398	268	46	0	0	178
0.01	37.62	1	0	10	246	1153	7851	1730115173.265031	19980	273	47	0	0	178
-31.21	21.99	2	0	102	-824	469	5117	1730115173.365441	24599	311	58	0	0	178
0.03	37.62	1	0	10	242	1130	7699	1730115173.381931	25223	304	59	0	0	178
-1.94	22.18	93	0	0	94	464	4975	1730115173.464655	29928	346	70	0	0	178
-1.63	22.15	89	0	0	106	476	5110	1730115173.563781	36165	379	85	0	0	178
0.61	37.5	0	0	10	287	1199	8190	1730115173.670187	42580	418	100	0	0	178
-0.89	22.11	87	0	0	129	469	5045	1730115173.76589	49842	437	117	0	0	178
-0.47	22.15	87	0	0	142	470	5046	1730115173.863994	57199	477	134	0	0	178
0.01	22.11	91	0	0	155	463	4981	1730115173.965619	66030	500	155	0	0	178
1.89	37.48	1	0	10	339	1150	7857	1730115174.068243	74158	501	174	0	0	178
2.3	37.48	1	0	10	359	1150	7859	1730115174.162277	82230	491	193	0	0	178
1.71	22.11	90	0	0	209	464	4982	1730115174.263458	90210	495	212	0	0	178
3.09	37.52	1	0	10	414	1198	8174	1730115174.365637	99150	499	233	0	0	178
-26.12	21.81	1	0	102	-683	476	5224	1730115174.455796	105168	508	247	0	0	178
2.98	22.11	88	0	0	248	463	4981	1730115174.457486	107195	508	252	0	0	178
-25.39	21.76	3	0	102	-677	487	5356	1730115174.550068	114738	508	270	0	0	178
4.54	37.5	-1	0	10	488	1195	8156	1730115174.655734	122844	505	289	0	0	178
5.0	22.04	87	0	0	325	481	5185	1730115174.756544	131220	501	308	0	0	178
-24.1	21.69	-3	0	102	-636	487	5358	1730115174.757022	132221	498	311	0	0	178
-23.46	21.76	3	0	102	-618	490	5380	1730115174.874782	141259	497	332	0	0	178
-23.11	21.76	3	0	102	-595	481	5279	1730115174.973734	150177	501	353	0	0	178
6.74	22.06	80	0	0	378	477	5138	1730115175.060822	157201	504	369	0	0	178
-21.69	21.55	2	0	102	-574	499	5518	1730115175.175935	166342	508	391	0	0	178
6.67	37.43	1	0	10	560	1121	7664	1730115175.176384	167342	505	393	0	0	178
7.27	37.48	1	0	10	619	1180	8060	1730115175.261466	173320	496	407	0	0	178
-20.16	21.67	3	0	102	-510	489	5379	1730115175.370894	182325	497	428	0	0	178
7.67	37.48	1	0	10	623	1150	7853	1730115175.377533	183313	496	431	0	0	178
7.97	37.43	1	0	10	649	1168	7987	1730115175.487812	192301	500	452	0	0	178
-18.98	21.44	1	0	102	-478	492	5453	1730115175.585293	200823	504	472	0	0	178
10.73	21.69	76	0	0	476	443	4837	1730115175.678088	207883	501	489	0	0	178
-18.31	21.39	3	0	102	-451	487	5407	1730115175.678459	208892	510	491	0	0	178
-17.71	21.46	2	0	102	-440	497	5511	1730115175.787235	217328	495	511	0	0	178
