DIFF_X	DIFF_Y	ANGLE	CAM_ID	MARKER_VALUE	X	Y	Z	LASTSEEN	CUR_POS	CUR_SPD	DISTANCE_FROM_HOME	DISTANCE_ARMEXTENDED	ANGLE_540	ANGLE_360
-4.41	20.21	-2	0	97	16	418	4848	1730115245.964267	2571356	-498	6043	0	0	178
27.27	19.38	3	0	98	949	399	4749	1730115246.061295	2564236	-506	6026	0	0	178
-5.13	20.16	-2	0	97	-6	402	4670	1730115246.063242	2563232	-506	6024	0	0	178
-5.78	20.23	-1	0	97	-26	413	4786	1730115246.164287	2556220	-497	6007	0	0	178
-6.45	20.23	-1	0	97	-46	418	4842	1730115246.266313	2546741	-490	5985	0	0	178
-7.08	20.28	-2	0	97	-67	424	4900	1730115246.369751	2537734	-500	5964	0	0	178
-7.75	20.23	-2	0	97	-86	417	4835	1730115246.467335	2530140	-501	5946	0	0	178
-8.44	20.23	-1	0	97	-105	412	4773	1730115246.565532	2521067	-503	5925	0	0	178
-9.11	20.23	-1	0	97	-126	412	4778	1730115246.666955	2513080	-493	5906	0	0	178
-9.7	20.23	-3	0	97	-145	417	4831	1730115246.767429	2505117	-494	5887	0	0	178
21.78	19.42	0	0	98	812	409	4877	1730115246.863369	2497163	-497	5868	0	0	178
-10.33	20.21	-2	0	97	-164	416	4826	1730115246.86499	2496153	-503	5866	0	0	178
-11.04	20.14	-1	0	97	-186	416	4839	1730115246.962661	2489042	-511	5849	0	0	178
-11.74	20.16	0	0	97	-218	438	5094	1730115247.06544	2479941	-502	5828	0	0	178
-12.36	20.14	-1	0	97	-230	423	4926	1730115247.163858	2471967	-493	5809	0	0	178
19.08	19.38	2	0	98	738	412	4919	1730115247.265846	2463624	-497	5790	0	0	178
-12.9	20.14	-1	0	97	-241	413	4815	1730115247.267273	2462635	-488	5787	0	0	178
-13.53	20.05	-1	0	97	-266	422	4938	1730115247.363365	2454636	-494	5768	0	0	178
17.7	19.4	-3	0	98	703	416	4964	1730115247.465425	2446967	-512	5750	0	0	178
-14.24	20.05	-1	0	97	-283	414	4843	1730115247.46996	2445935	-517	5748	0	0	178
-14.7	20.07	-3	0	97	-304	425	4972	1730115247.567624	2437834	-505	5729	0	0	178
-15.52	20.05	-1	0	97	-322	415	4858	1730115247.669169	2429874	-498	5710	0	0	178
-16.08	19.95	-1	0	97	-334	408	4794	1730115247.764907	2421967	-495	5692	0	0	178
15.77	19.35	-1	0	98	650	419	5007	1730115247.766586	2420989	-488	5689	0	0	178
-16.71	19.86	-1	0	97	-359	414	4878	1730115247.86474	2413006	-494	5671	0	0	178
-17.4	19.93	0	0	97	-370	404	4754	1730115247.968171	2404878	-500	5651	0	0	178
-18.09	19.93	-3	0	97	-394	408	4803	1730115248.069611	2396661	-501	5632	0	0	178
46.09	20.56	174	0	99	1335	384	4274	1730115248.166638	2388677	-489	5613	0	0	178
-18.7	19.95	-1	0	97	-415	411	4833	1730115248.171602	2387687	-496	5611	0	0	178
-19.05	19.88	-3	0	97	-426	410	4838	1730115248.268084	2379277	-490	5591	0	0	178
12.06	19.26	-1	0	98	547	426	5121	1730115248.368763	2371341	-507	5573	0	0	178
44.4	20.51	174	0	99	1233	365	4083	1730115248.464284	2363761	-510	5555	0	0	178
-20.31	19.77	-1	0	97	-451	398	4715	1730115248.468283	2362743	-503	5552	0	0	178
-21.04	19.86	-1	0	97	-474	400	4727	1730115248.568086	2354585	-504	5533	0	0	178
43.01	20.58	175	0	99	1212	369	4126	1730115248.668172	2346622	-491	5515	0	0	178
9.95	19.35	-1	0	98	480	429	5131	1730115248.668972	2345637	-499	5512	0	0	178
-22.27	19.95	0	0	97	-507	400	4708	1730115248.759701	2338718	-490	5496	0	0	178
-22.86	19.88	-4	0	97	-532	405	4783	1730115248.859956	2330812	-492	5477	0	0	178
8.02	19.44	-2	0	98	410	421	5026	1730115248.961914	2321752	-507	5456	0	0	178
7.27	19.44	0	0	98	386	422	5031	1730115249.075815	2312655	-502	5435	0	0	178
-24.93	20.09	1	0	97	-590	407	4766	1730115249.187356	2303636	-500	5414	0	0	178
-25.49	20.12	-1	0	97	-575	387	4527	1730115249.282754	2295215	-499	5394	0	0	178
38.29	20.81	174	0	99	1136	383	4276	1730115249.373709	2288276	-497	5377	0	0	178
-26.13	20.02	1	0	97	-614	399	4687	1730115249.378906	2287289	-496	5375	0	0	178
37.54	20.83	175	0	99	1127	387	4313	1730115249.483679	2278731	-501	5355	0	0	178
-26.86	20.05	0	0	97	-621	391	4593	1730115249.488857	2277712	-510	5353	0	0	178
36.81	20.93	175	0	99	1138	398	4430	1730115249.563623	2271695	-501	5338	0	0	178
-27.55	20.14	0	0	97	-645	395	4627	1730115249.569006	2270698	-494	5336	0	0	178
36.12	21.0	174	0	99	1091	389	4316	1730115249.665489	2263717	-505	5320	0	0	178
3.18	19.77	-2	0	98	258	428	5041	1730115249.667267	2262723	-490	5317	0	0	178
2.5	19.72	0	0	98	236	428	5046	1730115249.775875	2254728	-491	5299	0	0	178
-29.54	20.23	0	0	97	-708	401	4684	1730115249.856363	2246708	-494	5280	0	0	178
34.05	21.02	175	0	99	1055	395	4386	1730115249.961676	2238724	-498	5261	0	0	178
-30.2	20.3	1	0	97	-723	401	4665	1730115249.966994	2237724	-502	5259	0	0	178
33.31	21.09	174	0	99	1023	391	4333	1730115250.063424	2230720	-493	5242	0	0	178
-30.91	20.32	0	0	97	-731	395	4592	1730115250.065681	2229722	-500	5240	0	0	178
32.62	21.25	175	0	99	1013	396	4369	1730115250.166877	2221731	-505	5221	0	0	178
-31.56	20.42	0	0	97	-765	405	4690	1730115250.171073	2220728	-497	5219	0	0	178
-0.91	19.93	-1	0	98	128	431	5042	1730115250.270345	2213704	-507	5202	0	0	178
-32.89	20.49	1	0	97	-786	398	4597	1730115250.365503	2205166	-499	5182	0	0	178
-33.59	20.51	0	0	97	-804	398	4592	1730115250.467234	2196706	-487	5162	0	0	178
-34.38	20.65	0	0	97	-830	402	4621	1730115250.560379	2188756	-493	5144	0	0	178
-34.99	20.67	1	0	97	-852	405	4653	1730115250.665323	2179786	-504	5122	0	0	178
-35.66	20.69	1	0	97	-863	402	4616	1730115250.763435	2171707	-509	5104	0	0	178
-36.32	20.69	0	0	97	-878	401	4604	1730115250.86442	2163594	-507	5084	0	0	178
26.94	21.34	174	0	99	901	413	4555	1730115250.975195	2154576	-487	5063	0	0	178
-6.35	20.14	-1	0	98	-46	444	5156	1730115251.080115	2145643	-500	5042	0	0	178
-7.02	20.14	-1	0	98	-67	437	5080	1730115251.178004	2137692	-504	5024	0	0	178
-7.72	20.14	-1	0	98	-90	437	5086	1730115251.277049	2129584	-512	5005	0	0	178
-8.48	20.12	0	0	98	-113	436	5076	1730115251.378167	2120052	-506	4982	0	0	178
-9.15	20.23	-1	0	98	-135	438	5074	1730115251.47802	2112564	-488	4965	0	0	178
22.73	21.53	174	0	99	791	419	4589	1730115251.579362	2103646	-502	4944	0	0	178
-10.4	20.23	-1	0	98	-175	439	5085	1730115251.675398	2095703	-504	4925	0	0	178
21.39	21.3	-180	0	99	731	402	4450	1730115251.776303	2087594	-512	4906	0	0	178
20.65	21.3	176	0	99	713	404	4465	1730115251.877052	2079530	-505	4887	0	0	178
19.96	21.48	176	0	99	710	416	4565	1730115251.982364	2070490	-495	4866	0	0	178
-13.14	20.49	0	0	98	-259	438	5030	1730115252.068891	2063568	-496	4849	0	0	178
-44.65	21.16	-7	0	97	-997	371	4182	1730115252.184361	2053605	-509	4826	0	0	178
-13.78	20.42	-1	0	98	-275	430	4951	1730115252.190019	2052610	-496	4824	0	0	178
-14.48	20.25	0	0	98	-298	429	4976	1730115252.279414	2045491	-511	4807	0	0	178
-15.14	20.23	-1	0	98	-313	421	4892	1730115252.379143	2036899	-498	4787	0	0	178
16.63	21.46	-179	0	99	641	431	4747	1730115252.467164	2029909	-500	4770	0	0	178
16.08	21.85	176	0	99	632	443	4799	1730115252.560397	2022451	-492	4753	0	0	178
-16.58	20.72	0	0	98	-359	432	4927	1730115252.562149	2021469	-498	4750	0	0	178
0.17	20.12	178	0	99	160	428	4970	1730115254.953051	1822993	-487	4284	0	0	178
-32.9	19.19	0	0	98	-772	371	4514	1730115255.059349	1813903	-510	4263	0	0	178
-0.52	20.05	177	0	99	136	421	4901	1730115255.064727	1812903	-499	4260	0	0	178
-1.2	19.95	177	0	99	112	408	4769	1730115255.165359	1804856	-496	4241	0	0	178
-1.9	19.86	177	0	99	94	418	4906	1730115255.275484	1795768	-502	4220	0	0	178
-2.53	19.93	176	0	99	72	408	4776	1730115255.379993	1787309	-500	4200	0	0	178
-3.19	19.98	176	0	99	52	404	4723	1730115255.480433	1779326	-497	4181	0	0	178
-3.87	19.93	176	0	99	32	403	4723	1730115255.576587	1770778	-501	4161	0	0	178
-4.6	19.79	177	0	99	10	391	4612	1730115255.672786	1762713	-497	4142	0	0	178
-5.27	19.84	178	0	99	-10	402	4735	1730115255.773885	1753692	-504	4121	0	0	178
-5.92	20.02	177	0	99	-31	426	4979	1730115255.874513	1745728	-501	4102	0	0	178
-38.74	19.38	1	0	98	-909	367	4441	1730115255.973966	1737698	-504	4084	0	0	178
-6.51	20.09	177	0	99	-49	421	4897	1730115255.979801	1736702	-495	4081	0	0	178
-39.41	19.21	1	0	98	-890	350	4264	1730115256.07038	1729657	-505	4065	0	0	178
-7.24	19.88	176	0	99	-72	418	4908	1730115256.075011	1728654	-499	4062	0	0	178
-7.92	19.72	177	0	99	-90	403	4771	1730115256.176631	1720617	-495	4043	0	0	178
-8.58	19.86	177	0	99	-109	403	4738	1730115256.27763	1712623	-495	4025	0	0	178
-9.23	20.09	176	0	99	-131	416	4848	1730115256.373452	1704162	-500	4005	0	0	178
-42.08	19.4	1	0	98	-941	348	4203	1730115256.471823	1696122	-506	3986	0	0	178
-9.9	20.02	177	0	99	-149	409	4779	1730115256.476665	1695126	-498	3984	0	0	178
-10.55	19.77	177	0	99	-174	416	4913	1730115256.576215	1687631	-502	3966	0	0	178
-11.2	19.75	176	0	99	-189	406	4807	1730115256.690109	1678565	-500	3945	0	0	178
-11.88	19.95	177	0	99	-209	408	4791	1730115256.779436	1670660	-495	3926	0	0	178
-12.51	20.02	177	0	99	-225	403	4721	1730115256.898818	1660565	-500	3902	0	0	178
-13.16	19.86	177	0	99	-251	412	4853	1730115256.984998	1653510	-508	3886	0	0	178
-13.83	19.77	177	0	99	-274	415	4909	1730115257.085374	1645448	-508	3867	0	0	178
-46.73	19.38	2	0	98	-1090	361	4356	1730115257.190756	1636442	-499	3846	0	0	178
-14.48	19.91	178	0	99	-300	426	5007	1730115257.192888	1635449	-505	3843	0	0	178
-47.29	19.4	1	0	98	-1062	348	4191	1730115257.279367	1630497	-494	3832	0	0	178
-15.12	19.91	178	0	99	-306	407	4793	1730115257.281129	1628525	-491	3827	0	0	178
-15.72	19.81	178	0	99	-332	416	4914	1730115257.374569	1621008	-504	3809	0	0	178
30.85	18.33	-2	0	100	1021	372	4614	1730115257.472433	1612935	-500	3790	0	0	178
-16.39	19.86	178	0	99	-339	401	4733	1730115257.478071	1611922	-510	3788	0	0	178
-17.12	19.93	176	0	99	-374	418	4914	1730115257.573732	1604331	-502	3770	0	0	178
29.45	18.4	2	0	100	991	376	4653	1730115257.673125	1596368	-495	3751	0	0	178
-17.71	19.93	174	0	99	-379	404	4751	1730115257.673394	1595389	-494	3749	0	0	178
28.79	18.31	-1	0	100	952	366	4555	1730115257.775703	1587460	-501	3731	0	0	178
-18.31	19.81	178	0	99	-395	400	4735	1730115257.781875	1586463	-495	3728	0	0	178
-18.97	19.84	178	0	99	-433	418	4944	1730115257.872422	1579461	-506	3712	0	0	178
-19.62	19.95	178	0	99	-442	411	4834	1730115257.973161	1571285	-505	3693	0	0	178
-20.27	19.95	175	0	99	-436	388	4569	1730115258.07661	1562239	-500	3671	0	0	178
-20.92	19.93	179	0	99	-476	407	4790	1730115258.175626	1554265	-490	3653	0	0	178
-21.52	19.91	178	0	99	-483	397	4681	1730115258.276977	1546348	-496	3634	0	0	178
-22.19	19.84	179	0	99	-519	410	4846	1730115258.374616	1537836	-504	3614	0	0	178
-22.85	19.88	179	0	99	-516	393	4641	1730115258.474458	1529650	-515	3595	0	0	178
23.97	18.26	-2	0	100	872	388	4849	1730115258.476261	1528639	-503	3592	0	0	178
-23.57	20.02	179	0	99	-558	411	4828	1730115258.576293	1521076	-497	3575	0	0	178
23.22	18.31	2	0	100	867	396	4945	1730115258.576914	1520077	-501	3572	0	0	178
-24.13	19.95	178	0	99	-571	407	4800	1730115258.668826	1513111	-489	3556	0	0	178
-24.69	19.91	178	0	99	-573	397	4685	1730115258.766559	1505218	-497	3537	0	0	178
21.98	18.31	-2	0	100	840	401	5005	1730115258.773067	1504214	-498	3535	0	0	178
21.33	18.26	-2	0	100	818	400	4996	1730115258.884182	1495135	-498	3514	0	0	178
20.57	18.24	-3	0	100	804	404	5053	1730115258.968702	1488015	-509	3497	0	0	178
-26.51	19.95	178	0	99	-630	401	4731	1730115259.081965	1478969	-497	3476	0	0	178
20.08	18.29	-1	0	100	767	393	4912	1730115259.082528	1477975	-496	3473	0	0	178
19.47	18.36	-2	0	100	778	409	5103	1730115259.196537	1469003	-491	3452	0	0	178
18.85	18.36	-2	0	100	745	402	5009	1730115259.275172	1463031	-493	3438	0	0	178
-28.29	19.88	179	0	99	-657	386	4566	1730115259.382762	1453512	-510	3416	0	0	178
18.18	18.29	-1	0	100	713	394	4930	1730115259.388481	1452503	-501	3413	0	0	178
17.21	18.22	-2	0	100	704	405	5081	1730115259.479234	1445395	-513	3397	0	0	178
-29.84	19.95	178	0	99	-692	383	4526	1730115259.569969	1437798	-502	3379	0	0	178
16.59	18.38	-1	0	100	667	397	4950	1730115259.575694	1436803	-495	3376	0	0	178
-30.35	20.09	175	0	99	-743	406	4764	1730115259.661109	1430811	-492	3362	0	0	178
16.21	18.47	-1	0	100	681	414	5143	1730115259.661532	1429824	-495	3360	0	0	178
0.27	18.77	1	0	100	177	440	5400	1730115262.066007	1230562	-490	2892	0	0	178
-0.4	18.61	-2	0	100	145	412	5099	1730115262.168817	1221657	-499	2871	0	0	178
-46.56	19.65	170	0	99	-1087	365	4360	1730115262.270112	1213489	-514	2852	0	0	178
-1.08	18.56	0	0	100	121	401	4977	1730115262.276401	1212481	-501	2849	0	0	178
-1.86	18.61	-1	0	100	99	413	5105	1730115262.375276	1204350	-503	2830	0	0	178
-2.5	18.68	-1	0	100	77	408	5038	1730115262.476417	1195848	-498	2810	0	0	178
-3.14	18.8	-1	0	100	57	415	5099	1730115262.579167	1187950	-497	2792	0	0	178
-3.78	18.7	-1	0	100	36	408	5027	1730115262.674944	1179470	-501	2772	0	0	178
30.08	19.26	-2	0	101	1050	406	4848	1730115262.771376	1173440	-509	2758	0	0	178
-4.48	18.68	0	0	100	14	418	5155	1730115262.778671	1170427	-510	2751	0	0	178
-5.16	18.7	-1	0	100	-8	419	5165	1730115262.876289	1162360	-505	2732	0	0	178
28.65	19.44	-2	0	101	1024	415	4921	1730115262.977714	1154305	-499	2713	0	0	178
-5.85	18.84	0	0	100	-29	404	4957	1730115262.97963	1153312	-503	2710	0	0	178
-6.48	18.91	-1	0	100	-49	411	5031	1730115263.080411	1145409	-502	2692	0	0	178
-7.14	18.8	-1	0	100	-68	397	4883	1730115263.178689	1137433	-503	2673	0	0	178
-7.81	18.75	1	0	100	-93	415	5108	1730115263.302199	1127316	-507	2649	0	0	178
-8.52	18.75	0	0	100	-110	396	4884	1730115263.393904	1119275	-502	2630	0	0	178
25.27	19.49	2	0	101	966	434	5145	1730115263.488319	1111767	-505	2613	0	0	178
