1	2	1000
2	3	2000
3	10	2000
8	10	2500
12	10	900
13	10	900
8	9	3000
9	11	1500
14	11	900
15	11	900
12	16	200
16	17	200
17	18	200
18	19	200
19	20	200
20	21	200
21	22	200
22	23	200
23	24	200
24	25	200
25	26	200
26	27	200
27	28	200
28	29	200
29	30	200
30	31	200
31	32	200
32	33	200
33	34	200
34	35	200
35	36	200
36	37	200
37	38	200
38	39	200
39	40	200
40	41	200
41	42	200
42	43	200
43	44	200
44	45	200
45	46	200
46	4	200
13	47	200
47	48	200
48	49	200
49	50	200
50	51	200
51	52	200
52	53	200
53	54	200
54	55	200
55	56	200
56	57	200
57	58	200
58	59	200
59	60	200
60	61	200
61	62	200
62	63	200
63	64	200
64	65	200
65	66	200
66	67	200
67	68	200
68	69	200
69	70	200
70	71	200
71	72	200
72	73	200
73	74	200
74	75	200
75	76	200
76	77	200
77	5	200
14	78	200
78	79	200
79	80	200
80	81	200
81	82	200
82	83	200
83	84	200
84	85	200
85	86	200
86	87	200
87	88	200
88	89	200
89	90	200
90	91	200
91	92	200
92	93	200
93	94	200
94	95	200
95	96	200
96	97	200
97	98	200
98	99	200
99	100	200
100	6	200
15	101	200
101	102	200
102	103	200
103	104	200
104	105	200
105	106	200
106	107	200
107	108	200
108	109	200
109	110	200
110	111	200
111	112	200
112	113	200
113	114	200
114	115	200
115	116	200
116	117	200
117	118	200
118	119	200
119	120	200
120	121	200
121	122	200
122	123	200
123	7	200
